Fecha,Producto,Categoria,Sucursal,Cantidad,PrecioUnitario,CostoUnitario
2019-01-08,Notebook B,Tecnología,Santiago,3,302968,194337
2019-01-08,Notebook A,Tecnología,Valparaíso,3,283627,208271
2019-01-08,Microondas M,Electrohogar,Concepción,3,153467,117138
2019-01-08,Polera Básica,Ropa,Concepción,1,17040,11860
2019-01-08,Pañales XL,Bebés,Valparaíso,3,39407,24719
2019-01-08,Jeans Slim,Ropa,Valparaíso,2,17320,12314
2019-01-08,Mesa Centro,Muebles,Valparaíso,1,99504,75297
2019-01-08,Jeans Slim,Ropa,Valparaíso,3,17686,13429
2019-01-08,Refrigerador Y,Electrohogar,Valparaíso,1,150495,104116
2019-01-08,Microondas M,Electrohogar,Antofagasta,2,154725,112436
2019-01-09,Tablet X,Tecnología,Concepción,2,353720,224971
2019-01-09,Polera Básica,Ropa,Concepción,3,16591,13184
2019-01-09,Coche Bebé,Bebés,Concepción,3,49149,32881
2019-01-09,Refrigerador Y,Electrohogar,Antofagasta,2,142238,98451
2019-01-09,Microondas M,Electrohogar,Valparaíso,1,165205,121934
2019-01-09,Notebook B,Tecnología,Santiago,3,345348,212856
2019-01-09,Zapatillas Run,Deportes,Antofagasta,1,60645,46165
2019-01-09,Tablet X,Tecnología,Antofagasta,3,334391,262433
2019-01-09,Balón Fútbol,Deportes,La Serena,3,66750,49669
2019-01-09,Microondas M,Electrohogar,Concepción,3,177801,138514
2019-01-09,Zapatillas Run,Deportes,La Serena,1,74813,50187
2019-01-10,Coche Bebé,Bebés,Santiago,1,39383,26209
2019-01-10,Polera Básica,Ropa,Santiago,1,17062,12554
2019-01-10,Silla Gamer,Muebles,Antofagasta,2,84129,59515
2019-01-10,Lavadora L,Electrohogar,Santiago,3,157726,105281
2019-01-10,Jeans Slim,Ropa,Valparaíso,3,15637,12467
2019-01-10,Pañales XL,Bebés,Santiago,1,37629,23727
2019-01-10,Jeans Slim,Ropa,Concepción,2,15211,9654
2019-01-10,Tablet X,Tecnología,Concepción,3,272189,201255
2019-01-10,Balón Fútbol,Deportes,La Serena,3,74772,57082
2019-01-10,Notebook B,Tecnología,Concepción,2,381525,271399
2019-01-10,Lavadora L,Electrohogar,Antofagasta,1,146223,97199
2019-01-10,Silla Gamer,Muebles,La Serena,1,100074,74200
2019-01-10,Balón Fútbol,Deportes,Antofagasta,2,57705,40176
2019-01-11,Microondas M,Electrohogar,Antofagasta,3,167935,107537
2019-01-11,Refrigerador Y,Electrohogar,Antofagasta,1,180614,129884
2019-01-11,Zapatillas Run,Deportes,Concepción,2,56561,43560
2019-01-11,Jeans Slim,Ropa,Antofagasta,3,19130,12171
2019-01-11,Silla Gamer,Muebles,La Serena,1,86032,65303
2019-01-11,Balón Fútbol,Deportes,Concepción,1,58474,37841
2019-01-11,Balón Fútbol,Deportes,La Serena,1,75053,50923
2019-01-11,Zapatillas Run,Deportes,Antofagasta,2,66955,46048
2019-01-11,Notebook A,Tecnología,Santiago,1,316978,223904
2019-01-11,Silla Comer,Bebés,Concepción,2,51037,37030
2019-01-11,Lavadora L,Electrohogar,Antofagasta,1,167008,130062
2019-01-11,Polera Básica,Ropa,Santiago,1,17742,13408
2019-01-11,Notebook B,Tecnología,La Serena,2,355688,248553
2019-01-11,Refrigerador Y,Electrohogar,Antofagasta,3,157729,109054
2019-01-11,Chaqueta Invierno,Ropa,Antofagasta,1,16418,11194
2019-01-12,Mesa Centro,Muebles,La Serena,2,90065,60266
2019-01-12,Escritorio Pro,Muebles,Valparaíso,2,89185,61066
2019-01-12,Microondas M,Electrohogar,Concepción,2,170174,119322
2019-01-12,Notebook A,Tecnología,La Serena,3,381854,272272
2019-01-12,Polera Básica,Ropa,Antofagasta,3,14415,10311
2019-01-12,Refrigerador Y,Electrohogar,Concepción,1,141255,108496
2019-01-12,Mesa Centro,Muebles,Santiago,2,89493,56658
2019-01-12,Jeans Slim,Ropa,Santiago,1,18719,13174
2019-01-12,Silla Comer,Bebés,Santiago,1,41363,31460
2019-01-12,Coche Bebé,Bebés,Santiago,3,42371,29976
2019-01-12,Escritorio Pro,Muebles,Valparaíso,3,93490,69884
2019-01-12,Smartphone Z,Tecnología,Concepción,3,324293,203711
2019-01-12,Tablet X,Tecnología,La Serena,2,274065,181512
2019-01-12,Silla Comer,Bebés,Concepción,2,39522,25394
2019-01-12,Tablet X,Tecnología,Santiago,1,287840,196573
2019-01-12,Chaqueta Invierno,Ropa,Antofagasta,1,15298,10127
2019-01-12,Zapatillas Run,Deportes,Concepción,3,73195,49032
2019-01-12,Bicicleta MTB,Deportes,Santiago,1,63065,48391
2019-01-13,Mesa Centro,Muebles,Valparaíso,2,100240,69789
2019-01-13,Balón Fútbol,Deportes,Concepción,3,56472,37659
2019-01-13,Escritorio Pro,Muebles,Valparaíso,3,104184,71027
2019-01-13,Jeans Slim,Ropa,Antofagasta,1,16810,10940
2019-01-13,Mesa Centro,Muebles,Antofagasta,2,93214,66544
2019-01-13,Silla Gamer,Muebles,La Serena,3,106949,81395
2019-01-13,Balón Fútbol,Deportes,Concepción,1,57386,39096
2019-01-13,Lavadora L,Electrohogar,Valparaíso,3,179154,137882
2019-01-13,Silla Comer,Bebés,La Serena,1,42743,33277
2019-01-13,Silla Comer,Bebés,Valparaíso,3,42075,30212
2019-01-13,Polera Básica,Ropa,Antofagasta,2,18143,12202
2019-01-13,Silla Comer,Bebés,La Serena,2,48218,30282
2019-01-13,Microondas M,Electrohogar,Concepción,2,163264,103905
2019-01-13,Lavadora L,Electrohogar,Santiago,2,179501,132789
2019-01-13,Tablet X,Tecnología,Santiago,2,347407,237744
2019-01-14,Balón Fútbol,Deportes,Antofagasta,2,67836,44420
2019-01-14,Notebook A,Tecnología,Santiago,2,369569,236999
2019-01-14,Microondas M,Electrohogar,Antofagasta,3,189001,146434
2019-01-14,Refrigerador Y,Electrohogar,Santiago,1,145522,113927
2019-01-14,Refrigerador Y,Electrohogar,La Serena,2,166135,101242
2019-01-14,Jeans Slim,Ropa,Concepción,1,13997,10087
2019-01-14,Refrigerador Y,Electrohogar,Antofagasta,3,152322,102228
2019-01-14,Tablet X,Tecnología,Concepción,2,327126,239696
2019-01-14,Balón Fútbol,Deportes,Antofagasta,1,60478,42816
2019-01-14,Mesa Centro,Muebles,La Serena,3,111471,88179
2019-01-14,Escritorio Pro,Muebles,Santiago,2,98073,65598
2019-01-14,Notebook A,Tecnología,Santiago,1,352608,242230
2019-01-14,Mesa Centro,Muebles,Valparaíso,1,81084,64344
2019-01-14,Balón Fútbol,Deportes,La Serena,3,61550,46870
2019-01-14,Notebook A,Tecnología,Santiago,2,352867,248510
2019-01-14,Jeans Slim,Ropa,Concepción,3,18339,13420
2019-01-14,Balón Fútbol,Deportes,Santiago,2,65746,42356
2019-01-15,Coche Bebé,Bebés,Valparaíso,3,36543,27023
2019-01-15,Tablet X,Tecnología,Valparaíso,3,383312,266342
2019-01-15,Zapatillas Run,Deportes,Concepción,2,66538,48500
2019-01-15,Zapatillas Run,Deportes,Concepción,1,55847,41285
2019-01-15,Lavadora L,Electrohogar,La Serena,3,153917,108958
2019-01-15,Coche Bebé,Bebés,Santiago,1,46014,35762
2019-01-15,Microondas M,Electrohogar,Valparaíso,3,162717,129859
2019-01-15,Mesa Centro,Muebles,Antofagasta,1,94823,74580
2019-01-15,Mesa Centro,Muebles,La Serena,1,108619,73903
2019-01-15,Pañales XL,Bebés,La Serena,3,42373,26201
2019-01-15,Polera Básica,Ropa,Santiago,2,13520,9376
2019-01-15,Balón Fútbol,Deportes,La Serena,2,59607,36266
2019-01-15,Notebook A,Tecnología,Santiago,3,316119,232641
2019-01-15,Chaqueta Invierno,Ropa,Valparaíso,1,18218,11257
2019-01-15,Zapatillas Run,Deportes,Concepción,2,68722,43529
2019-01-15,Chaqueta Invierno,Ropa,La Serena,1,17398,12553
2019-01-15,Coche Bebé,Bebés,Valparaíso,3,38824,25007
2019-01-15,Notebook B,Tecnología,Concepción,2,366092,265767
2019-01-15,Notebook A,Tecnología,Concepción,2,333004,217134
2019-01-15,Escritorio Pro,Muebles,Valparaíso,2,116868,91097
2019-01-15,Escritorio Pro,Muebles,Antofagasta,1,100331,72097
2019-01-16,Smartphone Z,Tecnología,Concepción,3,285542,222080
2019-01-16,Notebook B,Tecnología,La Serena,2,367142,268399
2019-01-16,Silla Comer,Bebés,Concepción,2,42535,28692
2019-01-16,Silla Gamer,Muebles,Valparaíso,2,83918,54046
2019-01-16,Pañales XL,Bebés,Antofagasta,1,36984,28721
2019-01-16,Bicicleta MTB,Deportes,Concepción,2,67712,49594
2019-01-16,Silla Gamer,Muebles,Antofagasta,1,112631,85541
2019-01-16,Polera Básica,Ropa,Concepción,3,14462,9644
2019-01-16,Pañales XL,Bebés,Antofagasta,2,37693,27885
2019-01-16,Chaqueta Invierno,Ropa,Antofagasta,3,19268,13354
2019-01-16,Microondas M,Electrohogar,Concepción,1,179610,113541
2019-01-16,Jeans Slim,Ropa,Antofagasta,1,15052,9613
2019-01-16,Coche Bebé,Bebés,Concepción,1,44958,28016
2019-01-16,Refrigerador Y,Electrohogar,Concepción,2,152001,91761
2019-01-16,Smartphone Z,Tecnología,Valparaíso,3,317058,201617
2019-01-17,Jeans Slim,Ropa,La Serena,3,14498,10935
2019-01-17,Notebook B,Tecnología,Santiago,2,344510,209858
2019-01-17,Microondas M,Electrohogar,Antofagasta,3,142805,107340
2019-01-17,Silla Comer,Bebés,Santiago,2,41949,32039
2019-01-17,Escritorio Pro,Muebles,Valparaíso,2,90851,72628
2019-01-17,Tablet X,Tecnología,Antofagasta,1,289635,219822
2019-01-17,Silla Comer,Bebés,La Serena,2,48365,31244
2019-01-17,Mesa Centro,Muebles,Concepción,1,115677,70130
2019-01-17,Pañales XL,Bebés,Antofagasta,3,51432,38678
2019-01-17,Silla Comer,Bebés,Concepción,1,41132,30639
2019-01-17,Refrigerador Y,Electrohogar,Concepción,1,174100,117292
2019-01-17,Chaqueta Invierno,Ropa,La Serena,2,14722,9102
2019-01-17,Escritorio Pro,Muebles,Valparaíso,3,103544,64844
2019-01-17,Coche Bebé,Bebés,Concepción,2,43394,26047
2019-01-17,Notebook B,Tecnología,La Serena,1,294063,205350
2019-01-17,Balón Fútbol,Deportes,Antofagasta,1,68166,46806
2019-01-17,Pañales XL,Bebés,Antofagasta,2,46887,31842
2019-01-18,Jeans Slim,Ropa,Santiago,3,16383,10174
2019-01-18,Smartphone Z,Tecnología,Santiago,2,287099,200906
2019-01-18,Bicicleta MTB,Deportes,Valparaíso,2,61835,43504
2019-01-18,Notebook A,Tecnología,Antofagasta,2,273984,168696
2019-01-18,Zapatillas Run,Deportes,Valparaíso,2,67621,49897
2019-01-18,Lavadora L,Electrohogar,Valparaíso,2,145049,90063
2019-01-18,Silla Gamer,Muebles,Concepción,3,82137,64662
2019-01-18,Notebook B,Tecnología,La Serena,2,345037,261084
2019-01-18,Mesa Centro,Muebles,Concepción,2,110423,76243
2019-01-18,Mesa Centro,Muebles,Santiago,2,96790,72105
2019-01-18,Chaqueta Invierno,Ropa,La Serena,1,16376,11842
2019-01-18,Mesa Centro,Muebles,La Serena,1,87556,66362
2019-01-18,Escritorio Pro,Muebles,Valparaíso,3,89224,71314
2019-01-18,Tablet X,Tecnología,Concepción,2,318391,205080
2019-01-18,Zapatillas Run,Deportes,Santiago,3,65103,50367
2019-01-18,Refrigerador Y,Electrohogar,La Serena,1,155756,105012
2019-01-19,Jeans Slim,Ropa,Antofagasta,2,16420,12720
2019-01-19,Microondas M,Electrohogar,Valparaíso,3,170541,133444
2019-01-19,Chaqueta Invierno,Ropa,Antofagasta,2,17289,12909
2019-01-19,Escritorio Pro,Muebles,La Serena,2,87469,56637
2019-01-19,Balón Fútbol,Deportes,Antofagasta,1,55659,38262
2019-01-19,Bicicleta MTB,Deportes,Santiago,2,56286,41113
2019-01-19,Notebook A,Tecnología,La Serena,2,372958,224449
2019-01-19,Smartphone Z,Tecnología,La Serena,1,298443,193073
2019-01-19,Lavadora L,Electrohogar,Valparaíso,1,155220,118864
2019-01-19,Notebook A,Tecnología,La Serena,3,383830,249684
2019-01-19,Bicicleta MTB,Deportes,Concepción,1,62562,44212
2019-01-19,Notebook A,Tecnología,La Serena,3,374193,239920
2019-01-19,Coche Bebé,Bebés,Valparaíso,1,44499,35035
2019-01-19,Pañales XL,Bebés,Concepción,2,38880,24017
2019-01-19,Notebook A,Tecnología,Concepción,2,352585,239573
2019-01-19,Lavadora L,Electrohogar,Concepción,2,192109,139821
2019-01-19,Tablet X,Tecnología,Concepción,2,311118,219789
2019-01-19,Bicicleta MTB,Deportes,La Serena,2,58844,43232
2019-01-19,Refrigerador Y,Electrohogar,Santiago,3,175356,120777
2019-01-20,Refrigerador Y,Electrohogar,Valparaíso,3,175995,123097
2019-01-20,Notebook B,Tecnología,Santiago,3,381714,281669
2019-01-20,Notebook A,Tecnología,Concepción,3,349066,236937
2019-01-20,Pañales XL,Bebés,Valparaíso,2,46526,37215
2019-01-20,Zapatillas Run,Deportes,Santiago,1,63766,49364
2019-01-20,Notebook A,Tecnología,Antofagasta,3,358614,278178
2019-01-20,Coche Bebé,Bebés,La Serena,2,43011,33560
2019-01-20,Pañales XL,Bebés,Concepción,1,49085,30631
2019-01-20,Zapatillas Run,Deportes,Santiago,1,61790,41603
2019-01-20,Silla Comer,Bebés,La Serena,1,43179,27959
2019-01-20,Tablet X,Tecnología,La Serena,2,278784,200916
2019-01-20,Balón Fútbol,Deportes,Valparaíso,2,65124,44021
2019-01-20,Microondas M,Electrohogar,La Serena,1,183826,114300
2019-01-20,Coche Bebé,Bebés,Antofagasta,3,44538,32138
2019-01-20,Balón Fútbol,Deportes,Valparaíso,3,66510,50845
2019-01-20,Mesa Centro,Muebles,Antofagasta,3,89765,70502
2019-01-20,Polera Básica,Ropa,Antofagasta,2,14667,9288
2019-01-20,Polera Básica,Ropa,La Serena,2,15344,11671
2019-01-20,Escritorio Pro,Muebles,La Serena,2,106781,69891
2019-01-21,Mesa Centro,Muebles,La Serena,2,109792,69928
2019-01-21,Notebook B,Tecnología,Antofagasta,2,380130,260353
2019-01-21,Zapatillas Run,Deportes,Santiago,1,69196,54684
2019-01-21,Balón Fútbol,Deportes,Antofagasta,2,68245,51781
2019-01-21,Microondas M,Electrohogar,Santiago,1,189353,142770
2019-01-21,Notebook B,Tecnología,Concepción,1,306247,228580
2019-01-21,Chaqueta Invierno,Ropa,Valparaíso,1,14073,10200
2019-01-21,Tablet X,Tecnología,Valparaíso,1,290162,216860
2019-01-21,Refrigerador Y,Electrohogar,Antofagasta,1,145707,96524
2019-01-21,Mesa Centro,Muebles,Concepción,2,90248,65556
2019-01-21,Notebook B,Tecnología,Santiago,2,302945,217941
2019-01-21,Lavadora L,Electrohogar,Valparaíso,2,161747,120486
2019-01-21,Mesa Centro,Muebles,La Serena,2,84748,63126
2019-01-22,Bicicleta MTB,Deportes,Santiago,3,63629,42847
2019-01-22,Bicicleta MTB,Deportes,La Serena,1,66457,40773
2019-01-22,Silla Comer,Bebés,Antofagasta,2,45485,33478
2019-01-22,Polera Básica,Ropa,Valparaíso,3,14642,8938
2019-01-22,Jeans Slim,Ropa,Santiago,3,17884,12394
2019-01-22,Balón Fútbol,Deportes,La Serena,1,58207,42957
2019-01-22,Tablet X,Tecnología,Valparaíso,2,320723,245148
2019-01-22,Polera Básica,Ropa,La Serena,3,19063,12332
2019-01-22,Chaqueta Invierno,Ropa,Antofagasta,1,18552,13064
2019-01-22,Balón Fútbol,Deportes,Valparaíso,3,74752,53949
2019-01-22,Jeans Slim,Ropa,La Serena,2,13879,8654
2019-01-22,Refrigerador Y,Electrohogar,Valparaíso,1,140259,110438
2019-01-22,Notebook A,Tecnología,Concepción,3,317638,218992
2019-01-22,Jeans Slim,Ropa,Concepción,2,16482,13160
2019-01-22,Coche Bebé,Bebés,La Serena,3,42355,29985
2019-01-23,Microondas M,Electrohogar,Concepción,3,153281,94449
2019-01-23,Silla Comer,Bebés,Valparaíso,3,47119,31533
2019-01-23,Jeans Slim,Ropa,Valparaíso,1,16951,11796
2019-01-23,Smartphone Z,Tecnología,Santiago,2,377791,289338
2019-01-23,Chaqueta Invierno,Ropa,Concepción,1,18451,13530
2019-01-23,Refrigerador Y,Electrohogar,Valparaíso,1,148953,91754
2019-01-23,Polera Básica,Ropa,La Serena,2,15167,11683
2019-01-23,Silla Comer,Bebés,Valparaíso,3,38432,23531
2019-01-23,Escritorio Pro,Muebles,Valparaíso,1,83094,66390
2019-01-23,Silla Comer,Bebés,Santiago,3,39827,25029
2019-01-23,Smartphone Z,Tecnología,Concepción,3,353059,216234
2019-01-23,Chaqueta Invierno,Ropa,Santiago,1,17191,11368
2019-01-23,Jeans Slim,Ropa,Valparaíso,3,18253,12429
2019-01-23,Silla Comer,Bebés,Concepción,2,49241,36769
2019-01-23,Bicicleta MTB,Deportes,Valparaíso,2,65552,39583
2019-01-23,Coche Bebé,Bebés,Valparaíso,3,45903,30512
2019-01-24,Coche Bebé,Bebés,Antofagasta,1,36682,24734
2019-01-24,Smartphone Z,Tecnología,Concepción,3,329920,215505
2019-01-24,Coche Bebé,Bebés,La Serena,2,41195,30792
2019-01-24,Silla Gamer,Muebles,Antofagasta,1,97540,73838
2019-01-24,Pañales XL,Bebés,Santiago,1,46539,36699
2019-01-24,Refrigerador Y,Electrohogar,Santiago,2,190819,124149
2019-01-24,Silla Comer,Bebés,Valparaíso,3,43202,27882
2019-01-24,Smartphone Z,Tecnología,Antofagasta,3,282683,225484
2019-01-24,Pañales XL,Bebés,Santiago,3,47461,29161
2019-01-24,Silla Gamer,Muebles,Antofagasta,1,94953,65745
2019-01-24,Chaqueta Invierno,Ropa,La Serena,3,19154,14495
2019-01-24,Mesa Centro,Muebles,Valparaíso,1,100786,77213
2019-01-24,Microondas M,Electrohogar,La Serena,1,152727,115132
2019-01-24,Notebook A,Tecnología,Valparaíso,3,294682,183964
2019-01-24,Balón Fútbol,Deportes,Santiago,1,77036,53590
2019-01-24,Microondas M,Electrohogar,Antofagasta,3,193798,139608
2019-01-24,Silla Comer,Bebés,La Serena,2,38050,25404
2019-01-24,Lavadora L,Electrohogar,Santiago,1,157560,111870
2019-01-24,Refrigerador Y,Electrohogar,Valparaíso,2,151427,118971
2019-01-25,Smartphone Z,Tecnología,Antofagasta,3,350575,232566
2019-01-25,Smartphone Z,Tecnología,Santiago,3,300269,225504
2019-01-25,Coche Bebé,Bebés,La Serena,3,41121,30867
2019-01-25,Notebook B,Tecnología,La Serena,1,357354,222127
2019-01-25,Silla Comer,Bebés,La Serena,3,51442,35890
2019-01-25,Polera Básica,Ropa,Concepción,1,17042,11958
2019-01-25,Zapatillas Run,Deportes,Antofagasta,2,74960,54515
2019-01-25,Silla Comer,Bebés,Valparaíso,2,36149,23473
2019-01-25,Silla Comer,Bebés,Santiago,3,42424,32243
2019-01-25,Silla Gamer,Muebles,Valparaíso,1,107391,77665
2019-01-25,Escritorio Pro,Muebles,Santiago,1,100393,70760
2019-01-25,Microondas M,Electrohogar,Valparaíso,2,184961,111385
2019-01-25,Notebook B,Tecnología,Antofagasta,1,351405,263994
2019-01-25,Zapatillas Run,Deportes,Antofagasta,2,62839,43342
2019-01-25,Jeans Slim,Ropa,Concepción,2,15849,10817
2019-01-25,Coche Bebé,Bebés,La Serena,1,42203,28718
2019-01-26,Silla Gamer,Muebles,Valparaíso,3,106306,64906
2019-01-26,Microondas M,Electrohogar,Valparaíso,3,151189,115661
2019-01-26,Tablet X,Tecnología,Concepción,2,353450,264799
2019-01-26,Microondas M,Electrohogar,Antofagasta,3,184508,129904
2019-01-26,Coche Bebé,Bebés,Santiago,3,39774,26819
2019-01-26,Tablet X,Tecnología,La Serena,3,361991,270307
2019-01-26,Bicicleta MTB,Deportes,Santiago,1,69301,48458
2019-01-26,Mesa Centro,Muebles,La Serena,3,107640,85042
2019-01-26,Pañales XL,Bebés,La Serena,1,51674,32713
2019-01-26,Silla Gamer,Muebles,Antofagasta,2,99651,65744
2019-01-26,Silla Comer,Bebés,Valparaíso,3,42875,33208
2019-01-26,Pañales XL,Bebés,La Serena,1,42963,33832
2019-01-26,Jeans Slim,Ropa,Valparaíso,2,17868,12495
2019-01-26,Smartphone Z,Tecnología,Santiago,2,276874,178596
2019-01-26,Polera Básica,Ropa,La Serena,1,19240,11809
